governor,state,time_in_office,party,year
Herbert Romulus O’Conor,Maryland,1939 - 1947,Democrat,1947
Ralph Lawrence Carr,Colorado,1939 - 1943,Republican,1939
Ralph Lawrence Carr,Colorado,1939 - 1943,Republican,1940
Ralph Lawrence Carr,Colorado,1939 - 1943,Republican,1941
Ralph Lawrence Carr,Colorado,1939 - 1943,Republican,1942
Ralph Lawrence Carr,Colorado,1939 - 1943,Republican,1943
Payne Harry Ratner,Kansas,1939 - 1943,Republican,1939
Payne Harry Ratner,Kansas,1939 - 1943,Republican,1940
Payne Harry Ratner,Kansas,1939 - 1943,Republican,1941
Payne Harry Ratner,Kansas,1939 - 1943,Republican,1942
Payne Harry Ratner,Kansas,1939 - 1943,Republican,1943
Leon Chase Phillips,Oklahoma,1939 - 1943,Democrat,1939
Leon Chase Phillips,Oklahoma,1939 - 1943,Democrat,1940
Leon Chase Phillips,Oklahoma,1939 - 1943,Democrat,1941
Leon Chase Phillips,Oklahoma,1939 - 1943,Democrat,1942
Leon Chase Phillips,Oklahoma,1939 - 1943,Democrat,1943
John William Bricker,Ohio,1939 - 1945,Republican,1939
John William Bricker,Ohio,1939 - 1945,Republican,1940
John William Bricker,Ohio,1939 - 1945,Republican,1941
John William Bricker,Ohio,1939 - 1945,Republican,1942
John William Bricker,Ohio,1939 - 1945,Republican,1943
John William Bricker,Ohio,1939 - 1945,Republican,1944
John William Bricker,Ohio,1939 - 1945,Republican,1945
Charles Arthur Sprague,Oregon,1939 - 1943,Republican,1939
Charles Arthur Sprague,Oregon,1939 - 1943,Republican,1940
Charles Arthur Sprague,Oregon,1939 - 1943,Republican,1941
Charles Arthur Sprague,Oregon,1939 - 1943,Republican,1942
Charles Arthur Sprague,Oregon,1939 - 1943,Republican,1943
John Moses,North Dakota,1939 - 1945,Democratic,1939
John Moses,North Dakota,1939 - 1945,Democratic,1940
John Moses,North Dakota,1939 - 1945,Democratic,1941
John Moses,North Dakota,1939 - 1945,Democratic,1942
John Moses,North Dakota,1939 - 1945,Democratic,1943
John Moses,North Dakota,1939 - 1945,Democratic,1944
John Moses,North Dakota,1939 - 1945,Democratic,1945
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1939
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1940
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1941
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1942
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1943
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1944
Leverett Saltonstall,Massachusetts,1939 - 1945,Republican,1945
Raymond Early Baldwin,Connecticut,1939 - 1941,Republican,1939
Raymond Early Baldwin,Connecticut,1939 - 1941,Republican,1940
Raymond Early Baldwin,Connecticut,1939 - 1941,Republican,1941
William Henry Vanderbilt,Rhode Island,1939 - 1941,Republican,1939
William Henry Vanderbilt,Rhode Island,1939 - 1941,Republican,1940
William Henry Vanderbilt,Rhode Island,1939 - 1941,Republican,1941
Harlan John Bushfield,South Dakota,1939 - 1943,Republican,1939
Harlan John Bushfield,South Dakota,1939 - 1943,Republican,1940
Harlan John Bushfield,South Dakota,1939 - 1943,Republican,1941
Harlan John Bushfield,South Dakota,1939 - 1943,Republican,1942
Harlan John Bushfield,South Dakota,1939 - 1943,Republican,1943
Julius Peter Heil,Wisconsin,1939 - 1943,Republican,1939
Julius Peter Heil,Wisconsin,1939 - 1943,Republican,1940
Julius Peter Heil,Wisconsin,1939 - 1943,Republican,1941
Julius Peter Heil,Wisconsin,1939 - 1943,Republican,1942
Julius Peter Heil,Wisconsin,1939 - 1943,Republican,1943
Culbert L. Olson,California,1939 - 1943,Democrat,1939
Culbert L. Olson,California,1939 - 1943,Democrat,1940
Culbert L. Olson,California,1939 - 1943,Democrat,1941
Culbert L. Olson,California,1939 - 1943,Democrat,1942
Culbert L. Olson,California,1939 - 1943,Democrat,1943
Robert Taylor Jones,Arizona,1939 - 1941,Democrat,1939
Robert Taylor Jones,Arizona,1939 - 1941,Democrat,1940
Robert Taylor Jones,Arizona,1939 - 1941,Democrat,1941
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1939
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1940
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1941
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1942
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1943
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1944
Edward Peter Carville,Nevada,1939 - 1945,Democratic,1945
Harold Edward Stassen,Minnesota,1939 - 1943,Republican,1939
Harold Edward Stassen,Minnesota,1939 - 1943,Republican,1940
Harold Edward Stassen,Minnesota,1939 - 1943,Republican,1941
Harold Edward Stassen,Minnesota,1939 - 1943,Republican,1942
Harold Edward Stassen,Minnesota,1939 - 1943,Republican,1943
Nels H. Smith,Wyoming,1939 - 1943,Republican,1939
Nels H. Smith,Wyoming,1939 - 1943,Republican,1940
Nels H. Smith,Wyoming,1939 - 1943,Republican,1941
Nels H. Smith,Wyoming,1939 - 1943,Republican,1942
Nels H. Smith,Wyoming,1939 - 1943,Republican,1943
John Esten Miles,New Mexico,1939 - 1943,Democratic,1939
John Esten Miles,New Mexico,1939 - 1943,Democratic,1940
John Esten Miles,New Mexico,1939 - 1943,Democratic,1941
John Esten Miles,New Mexico,1939 - 1943,Democratic,1942
John Esten Miles,New Mexico,1939 - 1943,Democratic,1943
Frank Dwight Fitzgerald,Michigan,1939 - 1939,Republican,1939
Frank Dwight Fitzgerald,Michigan,1935 - 1937,Republican,1935
Frank Dwight Fitzgerald,Michigan,1935 - 1937,Republican,1936
Frank Dwight Fitzgerald,Michigan,1935 - 1937,Republican,1937
James Hubert Price,Virginia,1938 - 1942,Democrat,1938
James Hubert Price,Virginia,1938 - 1942,Democrat,1939
James Hubert Price,Virginia,1938 - 1942,Democrat,1940
James Hubert Price,Virginia,1938 - 1942,Democrat,1941
James Hubert Price,Virginia,1938 - 1942,Democrat,1942
Arthur Harry Moore,New Jersey,1938 - 1941,Democratic,1938
Arthur Harry Moore,New Jersey,1938 - 1941,Democratic,1939
Arthur Harry Moore,New Jersey,1938 - 1941,Democratic,1940
Arthur Harry Moore,New Jersey,1938 - 1941,Democratic,1941
Arthur Harry Moore,New Jersey,1932 - 1935,Democratic,1932
Arthur Harry Moore,New Jersey,1932 - 1935,Democratic,1933
Arthur Harry Moore,New Jersey,1932 - 1935,Democratic,1934
Arthur Harry Moore,New Jersey,1932 - 1935,Democratic,1935
Arthur Harry Moore,New Jersey,1926 - 1929,Democratic,1926
Arthur Harry Moore,New Jersey,1926 - 1929,Democratic,1927
Arthur Harry Moore,New Jersey,1926 - 1929,Democratic,1928
Arthur Harry Moore,New Jersey,1926 - 1929,Democratic,1929
Richard Cann McMullen,Delaware,1937 - 1941,Democrat,1937
Richard Cann McMullen,Delaware,1937 - 1941,Democrat,1938
Richard Cann McMullen,Delaware,1937 - 1941,Democrat,1939
Richard Cann McMullen,Delaware,1937 - 1941,Democrat,1940
Richard Cann McMullen,Delaware,1937 - 1941,Democrat,1941
Homer Adams Holt,West Virginia,1937 - 1941,Democrat,1937
Homer Adams Holt,West Virginia,1937 - 1941,Democrat,1938
Homer Adams Holt,West Virginia,1937 - 1941,Democrat,1939
Homer Adams Holt,West Virginia,1937 - 1941,Democrat,1940
Homer Adams Holt,West Virginia,1937 - 1941,Democrat,1941
Gordon Browning,Tennessee,1937 - 1939,Democrat,1937
Gordon Browning,Tennessee,1937 - 1939,Democrat,1938
Gordon Browning,Tennessee,1937 - 1939,Democrat,1939
Nelson George Kraschel,Iowa,1937 - 1939,Democrat,1937
Nelson George Kraschel,Iowa,1937 - 1939,Democrat,1938
Nelson George Kraschel,Iowa,1937 - 1939,Democrat,1939
Eurith Dickinson Rivers,Georgia,1937 - 1941,Democrat,1937
Eurith Dickinson Rivers,Georgia,1937 - 1941,Democrat,1938
Eurith Dickinson Rivers,Georgia,1937 - 1941,Democrat,1939
Eurith Dickinson Rivers,Georgia,1937 - 1941,Democrat,1940
Eurith Dickinson Rivers,Georgia,1937 - 1941,Democrat,1941
Teller Ammons,Colorado,1937 - 1939,Democrat,1937
Teller Ammons,Colorado,1937 - 1939,Democrat,1938
Teller Ammons,Colorado,1937 - 1939,Democrat,1939
Carl Edward Bailey,Arkansas,1937 - 1941,Democrat,1937
Carl Edward Bailey,Arkansas,1937 - 1941,Democrat,1938
Carl Edward Bailey,Arkansas,1937 - 1941,Democrat,1939
Carl Edward Bailey,Arkansas,1937 - 1941,Democrat,1940
Carl Edward Bailey,Arkansas,1937 - 1941,Democrat,1941
Walter Augustus Huxman,Kansas,1937 - 1939,Democrat,1937
Walter Augustus Huxman,Kansas,1937 - 1939,Democrat,1938
Walter Augustus Huxman,Kansas,1937 - 1939,Democrat,1939
Maurice Clifford Townsend,Indiana,1937 - 1941,Democrat,1937
Maurice Clifford Townsend,Indiana,1937 - 1941,Democrat,1938
Maurice Clifford Townsend,Indiana,1937 - 1941,Democrat,1939
Maurice Clifford Townsend,Indiana,1937 - 1941,Democrat,1940
Maurice Clifford Townsend,Indiana,1937 - 1941,Democrat,1941
Lloyd Crow Stark,Missouri,1937 - 1941,Democratic,1937
Lloyd Crow Stark,Missouri,1937 - 1941,Democratic,1938
Lloyd Crow Stark,Missouri,1937 - 1941,Democratic,1939
Lloyd Crow Stark,Missouri,1937 - 1941,Democratic,1940
Lloyd Crow Stark,Missouri,1937 - 1941,Democratic,1941
Francis Parnell Murphy,New Hampshire,1937 - 1941,Republican,1937
Francis Parnell Murphy,New Hampshire,1937 - 1941,Republican,1938
Francis Parnell Murphy,New Hampshire,1937 - 1941,Republican,1939
Francis Parnell Murphy,New Hampshire,1937 - 1941,Republican,1940
Francis Parnell Murphy,New Hampshire,1937 - 1941,Republican,1941
George D. Aiken,Vermont,1937 - 1941,Republican,1937
George D. Aiken,Vermont,1937 - 1941,Republican,1938
George D. Aiken,Vermont,1937 - 1941,Republican,1939
George D. Aiken,Vermont,1937 - 1941,Republican,1940
George D. Aiken,Vermont,1937 - 1941,Republican,1941
Charles Francis Hurley,Massachusetts,1937 - 1939,Democratic,1937
Charles Francis Hurley,Massachusetts,1937 - 1939,Democratic,1938
Charles Francis Hurley,Massachusetts,1937 - 1939,Democratic,1939
Clyde Roark Hoey,North Carolina,1937 - 1941,Democratic,1937
Clyde Roark Hoey,North Carolina,1937 - 1941,Democratic,1938
Clyde Roark Hoey,North Carolina,1937 - 1941,Democratic,1939
Clyde Roark Hoey,North Carolina,1937 - 1941,Democratic,1940
Clyde Roark Hoey,North Carolina,1937 - 1941,Democratic,1941
William Langer,North Dakota,1937 - 1939,"Nonpartisan League (1st term), Independent (2nd term)",1937
William Langer,North Dakota,1937 - 1939,"Nonpartisan League (1st term), Independent (2nd term)",1938
William Langer,North Dakota,1937 - 1939,"Nonpartisan League (1st term), Independent (2nd term)",1939
William Langer,North Dakota,1933 - 1934,"Nonpartisan League (1st term), Independent (2nd term)",1933
William Langer,North Dakota,1933 - 1934,"Nonpartisan League (1st term), Independent (2nd term)",1934
Lewis Orin Barrows,Maine,1937 - 1941,Republican,1937
Lewis Orin Barrows,Maine,1937 - 1941,Republican,1938
Lewis Orin Barrows,Maine,1937 - 1941,Republican,1939
Lewis Orin Barrows,Maine,1937 - 1941,Republican,1940
Lewis Orin Barrows,Maine,1937 - 1941,Republican,1941
Robert Emmet Quinn,Rhode Island,1937 - 1939,Democrat,1937
Robert Emmet Quinn,Rhode Island,1937 - 1939,Democrat,1938
Robert Emmet Quinn,Rhode Island,1937 - 1939,Democrat,1939
Leslie Jensen,South Dakota,1937 - 1939,Republican,1937
Leslie Jensen,South Dakota,1937 - 1939,Republican,1938
Leslie Jensen,South Dakota,1937 - 1939,Republican,1939
Frederick Preston Cone,Florida,1937 - 1941,Democrat,1937
Frederick Preston Cone,Florida,1937 - 1941,Democrat,1938
Frederick Preston Cone,Florida,1937 - 1941,Democrat,1939
Frederick Preston Cone,Florida,1937 - 1941,Democrat,1940
Frederick Preston Cone,Florida,1937 - 1941,Democrat,1941
Rawghlie Clement Stanford,Arizona,1937 - 1939,Democrat,1937
Rawghlie Clement Stanford,Arizona,1937 - 1939,Democrat,1938
Rawghlie Clement Stanford,Arizona,1937 - 1939,Democrat,1939
Elmer Austin Benson,Minnesota,1937 - 1939,Farm-Labor,1937
Elmer Austin Benson,Minnesota,1937 - 1939,Farm-Labor,1938
Elmer Austin Benson,Minnesota,1937 - 1939,Farm-Labor,1939
Roy Elmer Ayers,Montana,1937 - 1941,Democratic,1937
Roy Elmer Ayers,Montana,1937 - 1941,Democratic,1938
Roy Elmer Ayers,Montana,1937 - 1941,Democratic,1939
Roy Elmer Ayers,Montana,1937 - 1941,Democratic,1940
Roy Elmer Ayers,Montana,1937 - 1941,Democratic,1941
Barzilla Worth Clark,Idaho,1937 - 1939,Democrat,1937
Barzilla Worth Clark,Idaho,1937 - 1939,Democrat,1938
Barzilla Worth Clark,Idaho,1937 - 1939,Democrat,1939
Raymond Herbert Talbot,Colorado,1937 - 1937,Democrat,1937
Frank Murphy,Michigan,1937 - 1939,Democratic,1937
Frank Murphy,Michigan,1937 - 1939,Democratic,1938
Frank Murphy,Michigan,1937 - 1939,Democratic,1939
Hjalmar Petersen,Minnesota,1936 - 1937,Farmer-Labor,1936
Hjalmar Petersen,Minnesota,1936 - 1937,Farmer-Labor,1937
Richard Webster Leche,Louisiana,1936 - 1939,Democrat,1936
Richard Webster Leche,Louisiana,1936 - 1939,Democrat,1937
Richard Webster Leche,Louisiana,1936 - 1939,Democrat,1938
Richard Webster Leche,Louisiana,1936 - 1939,Democrat,1939
James Albert Noe,Louisiana,1936 - 1936,Democrat,1936
Hugh Lawson White,Mississippi,1936 - 1940,Democratic,1936
Hugh Lawson White,Mississippi,1936 - 1940,Democratic,1937
Hugh Lawson White,Mississippi,1936 - 1940,Democratic,1938
Hugh Lawson White,Mississippi,1936 - 1940,Democratic,1939
Hugh Lawson White,Mississippi,1936 - 1940,Democratic,1940
William Elmer Holt,Montana,1935 - 1937,Democratic,1935
William Elmer Holt,Montana,1935 - 1937,Democratic,1936
William Elmer Holt,Montana,1935 - 1937,Democratic,1937
Walter Welford,North Dakota,1935 - 1937,Republican (Nonpartisan League),1935
Walter Welford,North Dakota,1935 - 1937,Republican (Nonpartisan League),1936
Walter Welford,North Dakota,1935 - 1937,Republican (Nonpartisan League),1937
Martin Luther Davey,Ohio,1935 - 1939,Democrat,1935
Martin Luther Davey,Ohio,1935 - 1939,Democrat,1936
Martin Luther Davey,Ohio,1935 - 1939,Democrat,1937
Martin Luther Davey,Ohio,1935 - 1939,Democrat,1938
Martin Luther Davey,Ohio,1935 - 1939,Democrat,1939
Ernest Whitworth Marland,Oklahoma,1935 - 1939,Democrat,1935
Ernest Whitworth Marland,Oklahoma,1935 - 1939,Democrat,1936
Ernest Whitworth Marland,Oklahoma,1935 - 1939,Democrat,1937
Ernest Whitworth Marland,Oklahoma,1935 - 1939,Democrat,1938
Ernest Whitworth Marland,Oklahoma,1935 - 1939,Democrat,1939
Harold Giles Hoffman,New Jersey,1935 - 1938,Republican,1935
Harold Giles Hoffman,New Jersey,1935 - 1938,Republican,1936
Harold Giles Hoffman,New Jersey,1935 - 1938,Republican,1937
Harold Giles Hoffman,New Jersey,1935 - 1938,Republican,1938
James V. Allred,Texas,1935 - 1939,Democrat,1935
James V. Allred,Texas,1935 - 1939,Democrat,1936
James V. Allred,Texas,1935 - 1939,Democrat,1937
James V. Allred,Texas,1935 - 1939,Democrat,1938
James V. Allred,Texas,1935 - 1939,Democrat,1939
George Howard Earle,Pennsylvania,1935 - 1939,Democrat,1935
George Howard Earle,Pennsylvania,1935 - 1939,Democrat,1936
George Howard Earle,Pennsylvania,1935 - 1939,Democrat,1937
George Howard Earle,Pennsylvania,1935 - 1939,Democrat,1938
George Howard Earle,Pennsylvania,1935 - 1939,Democrat,1939
Charles Henry Martin,Oregon,1935 - 1939,Democrat,1935
Charles Henry Martin,Oregon,1935 - 1939,Democrat,1936
Charles Henry Martin,Oregon,1935 - 1939,Democrat,1937
Charles Henry Martin,Oregon,1935 - 1939,Democrat,1938
Charles Henry Martin,Oregon,1935 - 1939,Democrat,1939
David Bibb Graves,Alabama,1935 - 1939,Democrat,1935
David Bibb Graves,Alabama,1935 - 1939,Democrat,1936
David Bibb Graves,Alabama,1935 - 1939,Democrat,1937
David Bibb Graves,Alabama,1935 - 1939,Democrat,1938
David Bibb Graves,Alabama,1935 - 1939,Democrat,1939
David Bibb Graves,Alabama,1927 - 1931,Democrat,1927
David Bibb Graves,Alabama,1927 - 1931,Democrat,1928
David Bibb Graves,Alabama,1927 - 1931,Democrat,1929
David Bibb Graves,Alabama,1927 - 1931,Democrat,1930
David Bibb Graves,Alabama,1927 - 1931,Democrat,1931
Charles Manley Smith,Vermont,1935 - 1937,Republican,1935
Charles Manley Smith,Vermont,1935 - 1937,Republican,1936
Charles Manley Smith,Vermont,1935 - 1937,Republican,1937
Harry Whinna Nice,Maryland,1935 - 1939,Republican,1935
Harry Whinna Nice,Maryland,1935 - 1939,Republican,1936
Harry Whinna Nice,Maryland,1935 - 1939,Republican,1937
Harry Whinna Nice,Maryland,1935 - 1939,Republican,1938
Harry Whinna Nice,Maryland,1935 - 1939,Republican,1939
Philip F. La Follette,Wisconsin,1935 - 1939,Republican 1st term; Progressive 2nd and 3rd terms,1935
Philip F. La Follette,Wisconsin,1935 - 1939,Republican 1st term; Progressive 2nd and 3rd terms,1936
Philip F. La Follette,Wisconsin,1935 - 1939,Republican 1st term; Progressive 2nd and 3rd terms,1937
Philip F. La Follette,Wisconsin,1935 - 1939,Republican 1st term; Progressive 2nd and 3rd terms,1938
Philip F. La Follette,Wisconsin,1935 - 1939,Republican 1st term; Progressive 2nd and 3rd terms,1939
Philip F. La Follette,Wisconsin,1931 - 1933,Republican 1st term; Progressive 2nd and 3rd terms,1931
Philip F. La Follette,Wisconsin,1931 - 1933,Republican 1st term; Progressive 2nd and 3rd terms,1932
Philip F. La Follette,Wisconsin,1931 - 1933,Republican 1st term; Progressive 2nd and 3rd terms,1933
Thomas Hilliard Moodie,North Dakota,1935 - 1935,Democrat,1935
Richard Kirman,Nevada,1935 - 1939,Democratic,1935
Richard Kirman,Nevada,1935 - 1939,Democratic,1936
Richard Kirman,Nevada,1935 - 1939,Democratic,1937
Richard Kirman,Nevada,1935 - 1939,Democratic,1938
Richard Kirman,Nevada,1935 - 1939,Democratic,1939
Henry Styles Bridges,New Hampshire,1935 - 1937,Republican,1935
Henry Styles Bridges,New Hampshire,1935 - 1937,Republican,1936
Henry Styles Bridges,New Hampshire,1935 - 1937,Republican,1937
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1935
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1936
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1937
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1938
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1939
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1940
Robert Leroy (Roy) Cochran,Nebraska,1935 - 1941,Democratic,1941
James Michael Curley,Massachusetts,1935 - 1937,Democrat,1935
James Michael Curley,Massachusetts,1935 - 1937,Democrat,1936
James Michael Curley,Massachusetts,1935 - 1937,Democrat,1937
Horace Griggs Prall,New Jersey,1935 - 1935,Republican,1935
Clyde Tingley,New Mexico,1935 - 1939,Democratic,1935
Clyde Tingley,New Mexico,1935 - 1939,Democratic,1936
Clyde Tingley,New Mexico,1935 - 1939,Democratic,1937
Clyde Tingley,New Mexico,1935 - 1939,Democratic,1938
Clyde Tingley,New Mexico,1935 - 1939,Democratic,1939
Ole H. Olson,North Dakota,1934 - 1935,Republican,1934
Ole H. Olson,North Dakota,1934 - 1935,Republican,1935
Frank Finley Merriam,California,1934 - 1939,Republican,1934
Frank Finley Merriam,California,1934 - 1939,Republican,1935
Frank Finley Merriam,California,1934 - 1939,Republican,1936
Frank Finley Merriam,California,1934 - 1939,Republican,1937
Frank Finley Merriam,California,1934 - 1939,Republican,1938
Frank Finley Merriam,California,1934 - 1939,Republican,1939
Morley Isaac Griswold,Nevada,1934 - 1935,Republican,1934
Morley Isaac Griswold,Nevada,1934 - 1935,Republican,1935
George Campbell Peery,Virginia,1934 - 1938,Democrat,1934
George Campbell Peery,Virginia,1934 - 1938,Democrat,1935
George Campbell Peery,Virginia,1934 - 1938,Democrat,1936
George Campbell Peery,Virginia,1934 - 1938,Democrat,1937
George Campbell Peery,Virginia,1934 - 1938,Democrat,1938
George Campbell Peery,Virginia,1934 - 1938,Democrat,1934
George Campbell Peery,Virginia,1934 - 1938,Democrat,1935
George Campbell Peery,Virginia,1934 - 1938,Democrat,1936
George Campbell Peery,Virginia,1934 - 1938,Democrat,1937
George Campbell Peery,Virginia,1934 - 1938,Democrat,1938
Andrew W. Hockenhull,New Mexico,1933 - 1935,Democratic,1933
Andrew W. Hockenhull,New Mexico,1933 - 1935,Democratic,1934
Andrew W. Hockenhull,New Mexico,1933 - 1935,Democratic,1935
Frank Henry Cooney,Montana,1933 - 1935,Democratic,1933
Frank Henry Cooney,Montana,1933 - 1935,Democratic,1934
Frank Henry Cooney,Montana,1933 - 1935,Democratic,1935
Herman Guy Kump,West Virginia,1933 - 1937,Democrat,1933
Herman Guy Kump,West Virginia,1933 - 1937,Democrat,1934
Herman Guy Kump,West Virginia,1933 - 1937,Democrat,1935
Herman Guy Kump,West Virginia,1933 - 1937,Democrat,1936
Herman Guy Kump,West Virginia,1933 - 1937,Democrat,1937
Harry Hill McAlister,Tennessee,1933 - 1937,Democrat,1933
Harry Hill McAlister,Tennessee,1933 - 1937,Democrat,1934
Harry Hill McAlister,Tennessee,1933 - 1937,Democrat,1935
Harry Hill McAlister,Tennessee,1933 - 1937,Democrat,1936
Harry Hill McAlister,Tennessee,1933 - 1937,Democrat,1937
Miriam Amanda Ferguson,Texas,1933 - 1935,Democrat,1933
Miriam Amanda Ferguson,Texas,1933 - 1935,Democrat,1934
Miriam Amanda Ferguson,Texas,1933 - 1935,Democrat,1935
Miriam Amanda Ferguson,Texas,1925 - 1927,Democrat,1925
Miriam Amanda Ferguson,Texas,1925 - 1927,Democrat,1926
Miriam Amanda Ferguson,Texas,1925 - 1927,Democrat,1927
Clyde Laverne Herring,Iowa,1933 - 1937,Democrat,1933
Clyde Laverne Herring,Iowa,1933 - 1937,Democrat,1934
Clyde Laverne Herring,Iowa,1933 - 1937,Democrat,1935
Clyde Laverne Herring,Iowa,1933 - 1937,Democrat,1936
Clyde Laverne Herring,Iowa,1933 - 1937,Democrat,1937
Junius Marion Futrell,Arkansas,1933 - 1937,Democrat,1933
Junius Marion Futrell,Arkansas,1933 - 1937,Democrat,1934
Junius Marion Futrell,Arkansas,1933 - 1937,Democrat,1935
Junius Marion Futrell,Arkansas,1933 - 1937,Democrat,1936
Junius Marion Futrell,Arkansas,1933 - 1937,Democrat,1937
Junius Marion Futrell,Arkansas,1913 - 1913,Democrat,1913
Alfred Mossman Landon,Kansas,1933 - 1937,Republican,1933
Alfred Mossman Landon,Kansas,1933 - 1937,Republican,1934
Alfred Mossman Landon,Kansas,1933 - 1937,Republican,1935
Alfred Mossman Landon,Kansas,1933 - 1937,Republican,1936
Alfred Mossman Landon,Kansas,1933 - 1937,Republican,1937
Henry Horner,Illinois,1933 - 1940,Democrat,1933
Henry Horner,Illinois,1933 - 1940,Democrat,1934
Henry Horner,Illinois,1933 - 1940,Democrat,1935
Henry Horner,Illinois,1933 - 1940,Democrat,1936
Henry Horner,Illinois,1933 - 1940,Democrat,1937
Henry Horner,Illinois,1933 - 1940,Democrat,1938
Henry Horner,Illinois,1933 - 1940,Democrat,1939
Henry Horner,Illinois,1933 - 1940,Democrat,1940
Paul Vories McNutt,Indiana,1933 - 1937,Democrat,1933
Paul Vories McNutt,Indiana,1933 - 1937,Democrat,1934
Paul Vories McNutt,Indiana,1933 - 1937,Democrat,1935
Paul Vories McNutt,Indiana,1933 - 1937,Democrat,1936
Paul Vories McNutt,Indiana,1933 - 1937,Democrat,1937
Guy Brasfield Park,Missouri,1933 - 1937,Democratic,1933
Guy Brasfield Park,Missouri,1933 - 1937,Democratic,1934
Guy Brasfield Park,Missouri,1933 - 1937,Democratic,1935
Guy Brasfield Park,Missouri,1933 - 1937,Democratic,1936
Guy Brasfield Park,Missouri,1933 - 1937,Democratic,1937
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1933
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1934
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1935
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1936
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1937
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1938
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1939
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1940
Clarence Daniel Martin,Washington,1933 - 1941,Democrat,1941
John Christopher Blucher Ehringhaus,North Carolina,1933 - 1937,Democratic,1933
John Christopher Blucher Ehringhaus,North Carolina,1933 - 1937,Democratic,1934
John Christopher Blucher Ehringhaus,North Carolina,1933 - 1937,Democratic,1935
John Christopher Blucher Ehringhaus,North Carolina,1933 - 1937,Democratic,1936
John Christopher Blucher Ehringhaus,North Carolina,1933 - 1937,Democratic,1937
Louis Jefferson Brann,Maine,1933 - 1937,Democratic,1933
Louis Jefferson Brann,Maine,1933 - 1937,Democratic,1934
Louis Jefferson Brann,Maine,1933 - 1937,Democratic,1935
Louis Jefferson Brann,Maine,1933 - 1937,Democratic,1936
Louis Jefferson Brann,Maine,1933 - 1937,Democratic,1937
Theodore Francis Green,Rhode Island,1933 - 1937,Democrat,1933
Theodore Francis Green,Rhode Island,1933 - 1937,Democrat,1934
Theodore Francis Green,Rhode Island,1933 - 1937,Democrat,1935
Theodore Francis Green,Rhode Island,1933 - 1937,Democrat,1936
Theodore Francis Green,Rhode Island,1933 - 1937,Democrat,1937
Thomas Matthew Berry,South Dakota,1933 - 1937,Democrat,1933
Thomas Matthew Berry,South Dakota,1933 - 1937,Democrat,1934
Thomas Matthew Berry,South Dakota,1933 - 1937,Democrat,1935
Thomas Matthew Berry,South Dakota,1933 - 1937,Democrat,1936
Thomas Matthew Berry,South Dakota,1933 - 1937,Democrat,1937
David Sholtz,Florida,1933 - 1937,Democrat,1933
David Sholtz,Florida,1933 - 1937,Democrat,1934
David Sholtz,Florida,1933 - 1937,Democrat,1935
David Sholtz,Florida,1933 - 1937,Democrat,1936
David Sholtz,Florida,1933 - 1937,Democrat,1937
Albert G. Schmedeman,Wisconsin,1933 - 1935,Democrat,1933
Albert G. Schmedeman,Wisconsin,1933 - 1935,Democrat,1934
Albert G. Schmedeman,Wisconsin,1933 - 1935,Democrat,1935
Benjamin Baker Moeur,Arizona,1933 - 1937,Democrat,1933
Benjamin Baker Moeur,Arizona,1933 - 1937,Democrat,1934
Benjamin Baker Moeur,Arizona,1933 - 1937,Democrat,1935
Benjamin Baker Moeur,Arizona,1933 - 1937,Democrat,1936
Benjamin Baker Moeur,Arizona,1933 - 1937,Democrat,1937
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1933
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1934
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1935
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1936
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1937
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1938
Henry Hooper Blood,Utah,1933 - 1941,Democrat,1939
